"NtsbNo","EventType","Mkey","EventDate","City","State","Country","ReportNo","N","HasSafetyRec","ReportType","OriginalPublishDate","HighestInjuryLevel","FatalInjuryCount","SeriousInjuryCount","MinorInjuryCount","ProbableCause","EventID","Latitude","Longitude","Make","Model","AirCraftCategory","AirportID","AirportName","AmateurBuilt","NumberOfEngines","Scheduled","PurposeOfFlight","FAR","AirCraftDamage","WeatherCondition","Operator","ReportStatus","RepGenFlag","DocketUrl","DocketPublishDate",
"WPR23LA315","ACC","192871","2023-08-10T14:05:00Z","Marysville","California","United States","","N20268","FALSE","DirectorBrief","2023-11-30T05:00:00Z","None","0","0","0","The flight instructor’s failure to monitor the airplane’s speed during a high-speed taxi, resulting in a runway excursion.","","39.0977","-121.5698","CESSNA","172M","AIR","MYV","Yuba County","FALSE","1","","INST","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=192871","11/30/2023 6:00:00 PM",
"ERA23LA278","ACC","192484","2023-06-25T12:15:00Z","Sanford","North Carolina","United States","","N108YZ","FALSE","DirectorBrief","2023-08-31T04:00:00Z","None","0","0","0","The pilot’s failure to maintain directional control while landing in a crosswind, which resulted in a nose over.","","35.582439","-79.101338","GOPALAN HARIHARAN","4 Place","AIR","TTA","Raleigh Executive Jetport","TRUE","1","","PERS","091","Substantial","VMC","","Completed","FALSE","","",
"ERA23LA296","ACC","192615","2023-06-10T16:00:00Z","Lumberton","New Jersey","United States","","N8126X","FALSE","DirectorBrief","2023-12-13T05:00:00Z","None","0","0","0","The student pilot’s improper flight control inputs and the flight instructor’s delayed remedial action during takeoff, which resulted in a runway excursion and impact with the runway edge lights.","","39.934278","-74.807222","PIPER","PA-28-181","AIR","N14","FLYING W","FALSE","1","","INST","091","Substantial","VMC","Freeflight Aviation Llc.","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=192615","12/13/2023 6:00:00 PM",
"CEN23LA230","ACC","192323","2023-06-03T13:00:00Z","Rutherfordton","North Carolina","United States","","N5068X","FALSE","DirectorBrief","2023-07-07T04:00:00Z","None","0","0","0","The disengagement of the tailwheel locking mechanism during the landing roll which resulted in a loss of directional control during landing with a crosswind.","","35.427086","-81.935118","CHAMPION","7KCAB","AIR","FQD","RUTHERFORD COUNTY/MARCHMAN FLD","FALSE","1","NSCH","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=192323","7/7/2023 5:00:00 PM",
"ERA23FA235","ACC","180442","2023-05-18T00:14:00Z","Summerville","South Carolina","United States","","N255HJ","FALSE","DirectorBrief","2025-06-04T04:00:00Z","None","0","0","0","The pilot’s improper calculation of the airplane’s landing approach speed and required landing distance, which resulted in the airplane touching down fast with inadequate runway available, and a subsequent runway excursion.","","33.062278","-80.280917","HONDA AIRCRAFT CO LLC","HA-420","AIR","DYB","SUMMERVILLE","FALSE","2","","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=180442","6/4/2025 5:00:00 PM",
"CEN23LA176","ACC","114704","2023-04-28T14:11:00Z","Nacogdoches","Texas","United States","","N52602","FALSE","DirectorBrief","2023-06-29T04:00:00Z","None","0","0","0","The student pilot’s failure to maintain directional control during the landing roll.","","31.576586","-94.710096","CESSNA","172P","AIR","OCH","NACOGDOCHES A L MANGHAM JR RGNL","FALSE","1","","INST","091","Substantial","VMC","HUTCH AVIATION INC","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=114704","6/29/2023 5:00:00 PM",
"ERA23LA216","ACC","107809","2023-04-27T09:30:00Z","Stratford","Connecticut","United States","","C-GPEX","FALSE","DirectorBrief","2023-07-27T04:00:00Z","None","0","0","0","A failure of the left main landing gear down locking mechanism, which resulted in a collapse of that landing gear and a subsequent runway excursion.","","41.164347","-73.122274","GILBERT R. RINGER","GP4","AIR","BDR","IGOR I SIKORSKY MEML","FALSE","1","","PERS","091","Substantial","IMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=107809","7/27/2023 5:00:00 PM",
"ERA23LA176","ACC","106991","2023-04-01T19:37:00Z","Wall Township","New Jersey","United States","","N85AV","FALSE","DirectorBrief","2023-06-29T04:00:00Z","None","0","0","0","The pilots’ loss of directional control while landing in gusting wind conditions which resulted in a runway excursion. Also contributing was the flight crew’s decision to land at an airport where there was a rapidly approaching severe thunderstorm.","","40.184921","-74.121869","CESSNA","750","AIR","BLM","MONMOUTH EXECUTIVE AIRPORT","FALSE","2","","POSI","091","Substantial","VMC","USAC Airways 693, LLC","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=106991","6/29/2023 5:00:00 PM",
"ERA23LA165","ACC","106962","2023-03-26T11:30:00Z","St. Augustine","Florida","United States","","N541SP","FALSE","DirectorBrief","2023-07-07T04:00:00Z","Minor","0","0","1","The pilot’s failure to maintain directional control during the landing roll in gusting crosswind conditions, which resulted in a runway excursion and an impact with a ditch.","","29.95925","-81.339729","PIPER","PA-28-151","AIR","SGJ","Northeast Florida Regional Airport","FALSE","1","","PERS","091","Substantial","VMC","Florida Aviation Career Training Inc.","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=106962","7/7/2023 5:00:00 PM",
"CEN23LA112","ACC","106750","2023-02-17T12:16:00Z","Houston","Texas","United States","","N14QB","FALSE","DirectorBrief","2024-03-13T04:00:00Z","None","0","0","0","The pilot’s loss of directional control during landing which resulted in a runway excursion. Contributing to the accident was the pilot’s decision to land with a crosswind that exceeded the limitation for the airplane.","","29.645984","-95.278587","HONDA AIRCRAFT CO LLC","HA-420","AIR","HOU","William Hobby Airport","FALSE","2","NSCH","PERS","091","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=106750","3/13/2024 5:00:00 PM",
"CEN23LA085","ACC","106590","2023-01-17T15:44:00Z","Brush","Colorado","United States","","N41529","FALSE","DirectorBrief","2023-03-02T05:00:00Z","None","0","0","0","The pilot’s failure to maintain directional control during the landing roll with strong gusty surface winds.","","40.264361","-103.57563","PIPER","PA-18-150","AIR","7V5","Brush Municipal Airport","FALSE","1","NSCH","OWRK","PUBU","Substantial","VMC","","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=106590","3/2/2023 7:00:00 PM",
"ERA23LA102","ACC","106545","2023-01-05T14:19:00Z","Calhoun","Georgia","United States","","N522EA","FALSE","DirectorBrief","2023-06-15T04:00:00Z","None","0","0","0","The pilot’s inadvertent asymmetric throttle application, which resulted in a loss of directional control during the landing roll, runway excursion, and collision with ground equipment.","","34.450082","-84.938189","STRAY GOOSE RESEARCH LLC","AIRCAM","AIR","CZL","TOM B DAVID FLD","TRUE","2","","PERS","091","Substantial","VMC","STRAY GOOSE RESEARCH LLC","Completed","FALSE","https://data.ntsb.gov/Docket?ProjectID=106545","6/15/2023 5:00:00 PM",
