ntsbno,eventtype,eventdate_ntsb,city,state,country,n,highestinjurylevel,fatalinjurycount,seriousinjurycount,minorinjurycount,probablecause,latitude,longitude,make,model,airportid_ntsb,airportname,amateurbuilt,numberofengines,purposeofflight,far,aircraftdamage,weathercondition,operator,docketurl,valid,tmpf,dwpf,relh,drct,sknt,gust,vsby,alti,p01i,metar,weatherstation,weather_source,distance_nm,time_diff,crosswind_component,tailwind_component
ERA24LA064,ACC,2023-12-12 16:44:00+00:00,Sidney,Ohio,United States,N6643H,None,0,0,0,"The pilots’ improper landing flare, which resulted in a hard landing, runway excursion, and subsequent impact with a terminal sign and taxi light.",40.241278,-84.147861,BEECH,A36,SCA,SIDNEY MUNI,False,1.0,PERS,091,Substantial,VMC,NA,https://data.ntsb.gov/Docket?ProjectID=193518,2023-12-12 16:56:00+00:00,42.0,28.0,57.3,220.0,12.0,20.5,10.0,30.33,0.0,KDAY 121656Z 22012KT 10SM FEW250 06/M02 A3033 RMK AO2 SLP280 T00561022,DAY,FALLBACK,20.367877268110817,0 days 00:12:00,-7.713451316238471,-9.192533317427737
WPR24LA045,ACC,2023-11-27 14:05:00+00:00,Cameron Park,California,United States,N170HT,Minor,0,0,1,"A failure of the right brake master cylinder piston due to a faulty return spring, which resulted in a seized right main landing gear brake and a runway excursion",38.684,-120.98752,CESSNA,170B,O61,CAMERON PARK,False,1.0,PERS,091,Substantial,VMC,NA,https://data.ntsb.gov/Docket?ProjectID=193449,2023-11-27 13:53:00+00:00,32.0,29.0,88.53,320.0,3.0,20.5,10.0,30.14,0.0,KSAC 271353Z AUTO 32003KT 10SM CLR 00/M02 A3014 RMK AO2 SLP206 T00001017,SAC,FALLBACK,26.132153710385605,0 days 00:12:00,-1.9283628290596186,2.2981333293569333
ERA24LA020,ACC,2023-10-20 15:53:00+00:00,Jackson,Tennessee,United States,N9101J,None,0,0,0,"The pilot’s failure to maintain directional control during the landing roll in gusting wind conditions, which resulted in a runway excursion.",35.599881,-88.915612,PIPER,PA-28-180,MKL,MC KELLAR-SIPES RGNL,False,1.0,PERS,091,Substantial,VMC,OLD SCHOOL AIRCRAFT LLC,https://data.ntsb.gov/Docket?ProjectID=193302,2023-10-20 15:53:00+00:00,68.0,52.0,56.55,130.0,6.0,20.5,10.0,29.83,0.0,KMKL 201553Z VRB06KT 10SM CLR 20/11 A2983 RMK AO2 SLP100 T02000111,KMKL,PRIMARY,0.0,0 days 00:00:00,4.596266658713868,-3.8567256581192364
ERA24LA012,ACC,2023-10-18 15:11:00+00:00,Atlanta,Georgia,United States,N93GA,None,0,0,0,"The pilot’s failure to maintain a proper approach speed, which resulted in a runway overrun. Contributing to the runway overrun were the pilot’s application of full reverse at an airspeed higher than that allowed by the system, which added power and forward thrust, and the application of braking that flat-spotted the main landing gear tires.",33.867639,-84.30442,BEECH,300,PDK,DeKalb-Peachtree Airport,False,2.0,BUS,091,Substantial,VMC,CSW AVIATION LLC,https://data.ntsb.gov/Docket?ProjectID=193271,2023-10-18 14:53:00+00:00,61.0,49.0,64.61,0.0,0.0,20.5,10.0,30.2,0.0,KPDK 181453Z 00000KT 10SM CLR 16/09 A3020 RMK AO2 SLP226 T01610094 51013,KPDK,PRIMARY,0.0,0 days 00:18:00,0.0,0.0
CEN23LA373,ACC,2023-08-20 19:29:00+00:00,New Haven,Indiana,United States,N4150U,None,0,0,0,"The pilot’s loss of directional control while landing, which resulted in a runway excursion, impact with corn stalks, and subsequent nose over.",41.113,-84.90356,CESSNA,150D,26IN,Haven Center,False,1.0,PERS,091,Substantial,VMC,NA,https://data.ntsb.gov/Docket?ProjectID=192913,2023-08-20 19:52:00+00:00,107.0,61.0,22.64,110.0,7.0,16.0,10.0,30.0,0.0,KNFW 201952Z 11007G16KT 10SM CLR 42/16 A3000 RMK AO2 SLP142 T04170161 TSNO CHINO S VISNO S $,NFW,FALLBACK,27.30905901847244,0 days 00:23:00,6.5778483455013586,-2.394141003279681
CEN23LA386,ACC,2023-08-20 08:05:00+00:00,Granbury,Texas,United States,N57AR,Serious,0,1,0,The pilot’s improper takeoff procedure which resulted in a loss of control during takeoff.,32.353689,-97.67615,Silverlight,AR-1,0TX1,PECAN PLANTATION,True,1.0,PERS,091,Substantial,VMC,NA,https://data.ntsb.gov/Docket?ProjectID=192960,2023-08-20 07:54:00+00:00,63.0,59.0,86.77,170.0,3.0,20.5,10.0,30.06,0.0,KFWA 200754Z 17003KT 10SM CLR 17/15 A3006 RMK AO2 SLP176 T01720150 $,FWA,FALLBACK,16.09959587258484,0 days 00:11:00,0.5209445330007908,-2.954423259036624
WPR23LA315,ACC,2023-08-10 14:05:00+00:00,Marysville,California,United States,N20268,None,0,0,0,"The flight instructor’s failure to monitor the airplane’s speed during a high-speed taxi, resulting in a runway excursion.",39.0977,-121.5698,CESSNA,172M,MYV,Yuba County,False,1.0,INST,091,Substantial,VMC,NA,https://data.ntsb.gov/Docket?ProjectID=192871,2023-08-10 13:53:00+00:00,61.0,55.0,80.61,0.0,0.0,20.5,10.0,29.89,0.0,KMYV 101353Z AUTO 00000KT 10SM CLR 16/13 A2989 RMK AO2 SLP124 T01610128 $,KMYV,PRIMARY,0.0,0 days 00:12:00,0.0,0.0
ERA23LA278,ACC,2023-06-25 12:15:00+00:00,Sanford,North Carolina,United States,N108YZ,None,0,0,0,"The pilot’s failure to maintain directional control while landing in a crosswind, which resulted in a nose over.",35.582439,-79.101338,GOPALAN HARIHARAN,4 Place,TTA,Raleigh Executive Jetport,True,1.0,PERS,091,Substantial,VMC,NA,NA,2023-06-25 12:05:00+00:00,72.0,69.8,92.79,0.0,0.0,20.5,10.0,29.93,0.0,KTTA 251205Z AUTO 00000KT 10SM CLR 22/21 A2993 RMK AO2 T02220210,KTTA,PRIMARY,0.0,0 days 00:10:00,0.0,0.0
ERA23LA296,ACC,2023-06-10 16:00:00+00:00,Lumberton,New Jersey,United States,N8126X,None,0,0,0,"The student pilot’s improper flight control inputs and the flight instructor’s delayed remedial action during takeoff, which resulted in a runway excursion and impact with the runway edge lights.",39.934278,-74.807222,PIPER,PA-28-181,N14,FLYING W,False,1.0,INST,091,Substantial,VMC,Freeflight Aviation Llc.,https://data.ntsb.gov/Docket?ProjectID=192615,2023-06-10 15:54:00+00:00,75.0,51.0,43.14,320.0,6.0,14.0,10.0,29.81,0.0,KVAY 101554Z AUTO 32006G14KT 10SM CLR 24/11 A2981 RMK AO2 SLP094 T02390106,VAY,FALLBACK,1.5917947880162038,0 days 00:06:00,-3.8567256581192373,4.5962666587138665
CEN23LA230,ACC,2023-06-03 13:00:00+00:00,Rutherfordton,North Carolina,United States,N5068X,None,0,0,0,The disengagement of the tailwheel locking mechanism during the landing roll which resulted in a loss of directional control during landing with a crosswind.,35.427086,-81.935118,CHAMPION,7KCAB,FQD,RUTHERFORD COUNTY/MARCHMAN FLD,False,1.0,PERS,091,Substantial,VMC,NA,https://data.ntsb.gov/Docket?ProjectID=192323,2023-06-03 13:05:00+00:00,71.6,55.4,56.63,0.0,0.0,20.5,10.0,29.91,0.0,KFQD 031305Z AUTO 00000KT 10SM CLR 22/13 A2991 RMK AO2,KFQD,PRIMARY,0.0,0 days 00:05:00,0.0,0.0
ERA23FA235,ACC,2023-05-18 00:14:00+00:00,Summerville,South Carolina,United States,N255HJ,None,0,0,0,"The pilot’s improper calculation of the airplane’s landing approach speed and required landing distance, which resulted in the airplane touching down fast with inadequate runway available, and a subsequent runway excursion.",33.062278,-80.280917,HONDA AIRCRAFT CO LLC,HA-420,DYB,SUMMERVILLE,False,2.0,PERS,091,Substantial,VMC,NA,https://data.ntsb.gov/Docket?ProjectID=180442,2023-05-18 00:15:00+00:00,71.6,71.6,100.0,0.0,0.0,20.5,9.0,29.81,0.0,KDYB 180015Z AUTO 00000KT 9SM CLR 22/22 A2981 RMK AO2 LTG DSNT ALQDS,KDYB,PRIMARY,0.0,0 days 00:01:00,0.0,0.0
CEN23LA176,ACC,2023-04-28 14:11:00+00:00,Nacogdoches,Texas,United States,N52602,None,0,0,0,The student pilot’s failure to maintain directional control during the landing roll.,31.576586,-94.710096,CESSNA,172P,OCH,NACOGDOCHES A L MANGHAM JR RGNL,False,1.0,INST,091,Substantial,VMC,HUTCH AVIATION INC,https://data.ntsb.gov/Docket?ProjectID=114704,2023-04-28 13:56:00+00:00,62.0,56.0,80.11,80.0,4.0,20.5,10.0,29.88,0.0,KOCH 281356Z AUTO 08004KT 10SM CLR 17/13 A2988 RMK AO2 SLP120 T01670133 PWINO,KOCH,PRIMARY,0.0,0 days 00:15:00,3.939231012048832,0.6945927106677217
ERA23LA216,ACC,2023-04-27 09:30:00+00:00,Stratford,Connecticut,United States,C-GPEX,None,0,0,0,"A failure of the left main landing gear down locking mechanism, which resulted in a collapse of that landing gear and a subsequent runway excursion.",41.164347,-73.122274,GILBERT R. RINGER,GP4,BDR,IGOR I SIKORSKY MEML,False,1.0,PERS,091,Substantial,IMC,NA,https://data.ntsb.gov/Docket?ProjectID=107809,2023-04-27 09:14:00+00:00,49.0,46.0,89.67,130.0,7.0,20.5,10.0,30.2,0.0,KBDR 270914Z AUTO 13007KT 10SM BKN026 BKN090 09/08 A3020 RMK AO2 T00940078,KBDR,PRIMARY,0.0,0 days 00:16:00,5.362311101832846,-4.499513267805775
ERA23LA176,ACC,2023-04-01 19:37:00+00:00,Wall Township,New Jersey,United States,N85AV,None,0,0,0,The pilots’ loss of directional control while landing in gusting wind conditions which resulted in a runway excursion. Also contributing was the flight crew’s decision to land at an airport where there was a rapidly approaching severe thunderstorm.,40.184921,-74.121869,CESSNA,750,BLM,MONMOUTH EXECUTIVE AIRPORT,False,2.0,POSI,091,Substantial,VMC,"USAC Airways 693, LLC",https://data.ntsb.gov/Docket?ProjectID=106991,2023-04-01 19:56:00+00:00,68.0,55.0,63.12,220.0,13.0,23.0,10.0,29.4,0.02,KBLM 011956Z AUTO 22013G23KT 10SM CLR 20/13 A2940 RMK AO2 SLP956 P0002 T02000128,KBLM,PRIMARY,0.0,0 days 00:19:00,-8.35623892592501,-9.958577760546714
ERA23LA165,ACC,2023-03-26 11:30:00+00:00,St. Augustine,Florida,United States,N541SP,Minor,0,0,1,"The pilot’s failure to maintain directional control during the landing roll in gusting crosswind conditions, which resulted in a runway excursion and an impact with a ditch.",29.95925,-81.339729,PIPER,PA-28-151,SGJ,Northeast Florida Regional Airport,False,1.0,PERS,091,Substantial,VMC,Florida Aviation Career Training Inc.,https://data.ntsb.gov/Docket?ProjectID=106962,2023-03-26 11:36:00+00:00,69.8,68.0,94.01,230.0,6.0,20.5,1.0,30.05,0.0,KSGJ 261136Z 23006KT 1SM BR OVC002 21/20 A3005 RMK AO2 $,KSGJ,PRIMARY,0.0,0 days 00:06:00,-4.596266658713867,-3.856725658119237
